userId  itemId  original  prediction
1175 219 2.5 3.765
1175 241 1.5 3.75
1175 214 1.5 3.707
1175 235 2.5 3.417
1175 257 2.5 3.472
1383 219 3.5 3.696
1383 9 3.5 3.628
1383 12 2.0 3.467
1383 805 4.0 3.375
1383 207 2.5 3.55
1269 805 3.5 3.083
1268 235 2.0 3.302
1268 13 3.5 3.695
1268 211 4.0 3.764
1144 214 4.0 3.686
1144 8 4.0 3.723
1144 5 4.0 3.913
1257 121 3.0 3.834
1257 255 2.0 3.845
1257 207 2.5 3.642
1257 214 4.0 3.562
1257 215 3.5 3.585
1257 4 3.5 3.853
1218 206 2.5 3.738
1218 248 3.0 3.751
1218 255 2.5 3.912
1218 239 3.0 3.835
1218 210 2.0 3.576
1145 219 3.0 3.628
344 254 2.5 3.344
345 2 3.5 3.556
345 59 4.0 3.1
345 241 2.5 3.389
346 8 4.0 3.802
346 10 3.5 3.767
346 220 1.0 3.354
347 101 4.0 3.0
340 7 2.0 3.446
340 4 4.0 3.736
341 216 4.0 3.562
342 10 3.5 3.408
342 8 3.5 3.678
810 1 3.0 3.502
810 1542 4.0 3.0
1252 1 3.0 3.607
1252 217 3.0 3.738
812 425 1.5 4.0
812 13 3.0 3.503
812 1016 2.0 3.027
812 292 0.5 3.027
812 663 1.0 3.027
812 284 3.5 2.5
812 1053 4.0 3.027
812 1549 4.0 3.027
812 1160 3.0 3.027
812 1550 1.5 3.027
812 881 1.0 3.027
812 366 3.0 3.027
813 241 2.0 3.075
348 215 3.0 3.656
349 215 3.5 3.581
349 250 4.0 3.633
817 254 2.5 3.817
817 3 4.0 3.736
817 214 3.5 3.668
817 11 4.0 3.831
817 243 4.0 3.709
817 247 3.5 3.716
817 212 3.5 3.793
595 7 2.5 3.778
1149 805 4.0 3.7
1149 1401 3.5 3.269
1149 17 3.5 3.219
1149 583 2.0 2.512
1149 434 2.0 3.072
1399 2 3.0 3.655
1399 241 2.5 3.587
719 254 2.5 3.801
719 220 0.5 3.336
719 244 4.0 3.703
719 233 3.0 3.669
719 256 2.5 3.65
719 255 4.0 3.895
719 207 4.0 3.723
718 206 3.5 3.794
718 1 3.0 3.589
716 1509 4.0 2.974
716 246 3.0 3.648
716 245 3.5 3.89
716 250 4.0 3.739
716 217 3.0 3.634
716 236 2.5 3.654
716 10 2.0 3.642
715 236 3.5 3.5
715 4 3.0 3.868
715 2 3.0 3.526
714 4 2.5 3.851
714 205 3.0 3.843
714 233 2.5 3.668
714 215 4.0 3.722
714 248 2.5 3.66
713 8 3.5 3.572
713 219 3.5 3.66
713 12 3.5 3.627
712 251 3.0 3.713
712 2 3.5 3.527
712 207 2.5 3.445
711 12 3.5 3.697
711 11 4.0 3.826
710 8 4.0 3.598
915 205 3.0 3.738
915 2 4.0 3.743
1492 3 3.5 3.668
1492 1660 3.5 3.769
1492 11 4.0 3.763
1267 215 4.0 3.64
1267 10 4.0 3.594
1267 17 1.5 3.66
1265 3 3.0 3.503
1496 10 2.5 3.256
1496 243 1.5 3.005
1496 1941 3.0 1.5
1496 675 4.0 3.445
1496 1460 3.5 3.191
914 219 3.0 3.667
914 215 4.0 3.555
914 5 4.0 3.702
914 6 3.0 3.688
606 219 2.5 3.677
606 212 4.0 3.725
606 235 3.0 3.423
606 249 0.5 3.591
606 220 2.0 3.475
606 254 1.0 3.678
606 13 1.0 3.667
1499 249 4.0 3.697
1499 84 4.0 3.729
1499 244 3.5 3.729
1499 210 3.5 3.556
1499 121 4.0 3.791
1499 11 4.0 3.944
917 248 3.0 3.474
917 1 4.0 3.501
917 251 3.0 3.726
917 84 2.5 3.685
1069 251 4.0 3.66
1069 5 3.5 3.937
1069 250 4.0 3.603
1069 217 3.5 3.726
1068 8 4.0 3.589
1394 270 1.0 2.5
1061 215 2.5 3.417
911 753 4.0 2.3
911 216 3.0 3.305
911 211 3.5 3.824
1168 918 4.0 3.75
1062 250 4.0 3.707
1062 7 2.0 3.682
1065 494 3.5 4.0
1065 123 3.0 3.135
1065 347 3.5 3.746
1065 216 3.5 3.555
1065 17 4.0 3.599
1065 1756 1.0 3.135
1064 728 3.5 3.173
1064 10 2.5 3.159
1067 212 2.5 3.66
1067 211 3.0 3.814
910 205 4.0 3.827
910 213 2.5 3.448
913 4 3.5 3.835
298 215 4.0 3.559
298 337 3.0 2.5
298 17 2.0 3.64
298 335 3.5 3.071
299 219 4.0 3.801
299 239 4.0 3.799
299 12 3.0 3.667
296 13 3.0 3.662
296 215 3.0 3.466
294 250 2.5 3.749
294 2 3.0 3.715
294 249 2.0 3.559
294 205 0.5 3.86
294 243 2.0 3.625
294 214 3.5 3.833
294 247 2.0 3.75
294 239 3.0 3.752
295 252 2.0 3.668
295 251 2.0 3.724
295 8 3.5 3.822
295 257 2.0 3.607
295 11 4.0 3.776
292 211 3.0 3.612
292 250 4.0 3.753
293 235 4.0 3.397
293 3 3.5 3.706
293 213 3.5 3.862
293 216 4.0 3.67
293 257 2.0 3.447
293 212 3.0 3.727
293 251 3.0 3.725
293 250 3.0 3.661
293 233 2.5 3.679
290 257 2.5 3.598
291 245 3.5 3.783
291 213 3.0 3.753
291 250 3.5 3.635
591 1371 3.5 3.268
591 234 4.0 3.117
591 694 0.5 2.248
591 847 1.0 3.162
591 91 4.0 3.194
591 675 4.0 2.919
590 1 3.0 3.507
593 13 4.0 3.718
592 235 3.5 3.41
199 847 1.5 2.838
199 851 4.0 2.004
199 859 0.5 4.0
